"ACCOUNTNUMBER","ACCOUNTSOURCE","ACTIVE__C","ANNUALREVENUE","BILLINGCITY","BILLINGADDRESS","YEARSTARTED","WEBSITE","UPSELLOPPORTUNITY__C","TYPE","TRADESTYLE","TICKERSYMBOL","SYSTEMMODSTAMP","SITE","SICDESC","SIC","SHIPPINGSTREET","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGLONGITUDE","SHIPPINGLATITUDE","SHIPPINGGEOCODEACCURACY","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGADDRESS","SEGMENT__C","SLA__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","RATING","PHOTOURL","PHONE","PARENTID","OWNERSHIP","OWNERID","NUMBEROFLOCATIONS__C","NUMBEROFEMPLOYEES","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CLEANSTATUS","CREATEDBYID","CREATEDDATE","CUSTOMERPRIORITY__C","DANDBCOMPANYID","DUNSNUMBER","FAX","DESCRIPTION","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAICSCODE","NAME","NAICSDESC"
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35736","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKWXAA3","","","","0052w00000BXX9uAAH","","500","Denmark","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWXAA3","Finance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Meyer252 Inc",""
"","Employee Referral","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35758","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKWYAA3","","","","0052w00000BXX9sAAH","","500","Turkey","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWYAA3","Telecommunications","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Phillips253 Inc",""
"","Advertisement","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","35780","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKWZAA3","","","","0052w00000BXX9wAAH","","500","Normway","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWZAA3","Banking","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Glover254 Inc",""
"","Employee Referral","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35802","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWaAAN","","","","0052w00000BXX9qAAH","","500","Canada","","","","","NY","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWaAAN","Retail","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Ortega255 Inc",""
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35824","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKWbAAN","","","","0052w00000BXXA0AAP","","500","Canada","","","","","OR","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWbAAN","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Love256 Inc",""
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35846","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKWcAAN","","","","0052w00000BXX9sAAH","","500","Germany","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWcAAN","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Salazar257 Inc",""
"","Trade Show","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35868","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWdAAN","","","","0052w00000BXX9qAAH","","500","USA","","","","","MN","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWdAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Patrick258 Inc",""
"","Trade Show","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35890","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWeAAN","","","","0052w00000BXX9mAAH","","500","USA","","","","","RI","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWeAAN","Engineering","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Wells259 Inc",""
"","Public Relations","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35912","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKWfAAN","","","","0052w00000BXX9vAAH","","500","USA","","","","","PA","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWfAAN","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Dawson260 Inc",""
"","Employee Referral","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35934","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWgAAN","","","","0052w00000BXXA2AAP","","500","China","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWgAAN","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Holloway261 Inc",""
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35956","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWhAAN","","","","0052w00000BXX9sAAH","","500","USA","","","","","AK","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWhAAN","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Estrada262 Inc",""
"","Web","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","35978","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWiAAN","","","","0052w00000BXXA2AAP","","500","USA","","","","","WV","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWiAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Beck462 Inc",""
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36000","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKWjAAN","","","","0052w00000BXX9uAAH","","500","USA","","","","","MI","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWjAAN","Telecommunications","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Hill463 Inc",""
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36022","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWkAAN","","","","0052w00000BXX9uAAH","","500","Canada","","","","","HI","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWkAAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Maldonado464 Inc",""
"","Employee Referral","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36044","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWlAAN","","","","0052w00000BXXA2AAP","","500","Singapore","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWlAAN","Transportation","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Figueroa465 Inc",""
"","Employee Referral","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36066","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKWmAAN","","","","0052w00000BXX9tAAH","","500","Canada","","","","","MT","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWmAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Porter466 Inc",""
"","Advertisement","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36088","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKWnAAN","","","","0052w00000BXX9oAAH","","500","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWnAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","McDaniel467 Inc",""
"","Advertisement","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36110","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWoAAN","","","","0052w00000BXX9zAAH","","500","Canada","","","","","KS","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWoAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Edwards468 Inc",""
"","Partner","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36132","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWpAAN","","","","0052w00000BXXA2AAP","","500","USA","","","","","MS","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWpAAN","Transportation","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Cobb469 Inc",""
"","Web","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36154","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKWqAAN","","","","0052w00000BXX9oAAH","","500","Switzerland","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWqAAN","Electronics","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Moore470 Inc",""
"","Public Relations","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36176","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWrAAN","","","","0052w00000BXXA0AAP","","500","Normway","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWrAAN","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Holloway471 Inc",""
"","Word of mouth","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36198","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKWsAAN","","","","0052w00000BXX9mAAH","","500","Canada","","","","","DE","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWsAAN","Consulting","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Padilla472 Inc",""
"","Seminar - Internal","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36220","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWtAAN","","","","0052w00000BXX9qAAH","","500","India","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWtAAN","Retail","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Cross473 Inc",""
"","Public Relations","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36242","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWuAAN","","","","0052w00000BXX9pAAH","","500","France","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWuAAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Bridges474 Inc",""
"","Advertisement","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36264","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWvAAN","","","","0052w00000BXX9tAAH","","500","Singapore","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWvAAN","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Chapman475 Inc",""
"","Word of mouth","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36286","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKWwAAN","","","","0052w00000BXX9tAAH","","500","Canada","","","","","ND","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWwAAN","Finance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Hunt476 Inc",""
"","Seminar - Internal","","800000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36308","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKWxAAN","","","","0052w00000BXX9lAAH","","500","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWxAAN","Engineering","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Stanley477 Inc",""
"","Employee Referral","","800000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36330","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKWyAAN","","","","0052w00000BXXA3AAP","","500","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWyAAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Schmidt478 Inc",""
"","Employee Referral","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36352","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKWzAAN","","","","0052w00000BXX9mAAH","","1000","Denmark","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKWzAAN","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Bowman479 Inc",""
"","Advertisement","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36374","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKX0AAN","","","","0052w00000BXX9tAAH","","1000","USA","","","","","NC","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX0AAN","Engineering","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Moss480 Inc",""
"","Word of mouth","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36396","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKX1AAN","","","","0052w00000BXX9lAAH","","1000","USA","","","","","IA","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX1AAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Allen481 Inc",""
"","Trade Show","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36418","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKX2AAN","","","","0052w00000BXX9vAAH","","1000","Canada","","","","","NV","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX2AAN","Finance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Guzman482 Inc",""
"","Web","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36440","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKX3AAN","","","","0052w00000BXX9pAAH","","1000","Hong Kong","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX3AAN","Healthcare","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Long647 Inc",""
"","Web","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36462","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKX4AAN","","","","0052w00000BXX9nAAH","","1000","Canada","","","","","WI","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX4AAN","Agriculture","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Soto648 Inc",""
"","Advertisement","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36484","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKX5AAN","","","","0052w00000BXXA0AAP","","1000","Germany","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX5AAN","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Martinez649 Inc",""
"","Web","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36506","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKX6AAN","","","","0052w00000BXX9zAAH","","1000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX6AAN","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Cummings650 Inc",""
"","Partner","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36528","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKX7AAN","","","","0052w00000BXX9oAAH","","1000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX7AAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Hines651 Inc",""
"","Web","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36550","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKX8AAN","","","","0052w00000BXXA3AAP","","1000","USA","","","","","NH","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX8AAN","Banking","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Colon652 Inc",""
"","Advertisement","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36572","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKX9AAN","","","","0052w00000BXX9lAAH","","1000","France","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKX9AAN","Retail","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Warren653 Inc",""
"","Employee Referral","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36594","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKXAAA3","","","","0052w00000BXX9nAAH","","1000","USA","","","","","AZ","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXAAA3","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Fleming654 Inc",""
"","Trade Show","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36616","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKXBAA3","","","","0052w00000BXX9mAAH","","1000","Spain","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXBAA3","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Dixon655 Inc",""
"","Web","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36638","","","","","","","","","","ENT","","","","","/services/images/photo/0012w00001BpKXCAA3","","","","0052w00000BXX9uAAH","","1000","Belgium","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXCAA3","Agriculture","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Russell656 Inc",""
"","Trade Show","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36660","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKXDAA3","","","","0052w00000BXX9uAAH","","1000","USA","","","","","LA","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXDAA3","Communications","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Benson657 Inc",""
"","Advertisement","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36682","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKXEAA3","","","","0052w00000BXX9qAAH","","1000","China","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXEAA3","Agriculture","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","McDonald658 Inc",""
"","Employee Referral","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36704","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKXFAA3","","","","0052w00000BXX9rAAH","","1000","USA","","","","","WA","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXFAA3","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Long659 Inc",""
"","Trade Show","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","36726","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKXGAA3","","","","0052w00000BXXA2AAP","","1000","USA","","","","","FL","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXGAA3","Electronics","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Hicks660 Inc",""
"","Trade Show","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36748","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKXHAA3","","","","0052w00000BXX9qAAH","","1000","USA","","","","","IA","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXHAA3","Agriculture","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Bass661 Inc",""
"","Employee Referral","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","36770","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKXIAA3","","","","0052w00000BXXA1AAP","","1000","Singapore","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXIAA3","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Nichols662 Inc",""
"","Word of mouth","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","43290","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKXJAA3","","","","0052w00000BXX9zAAH","","1000","Thailand","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXJAA3","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Simmons663 Inc",""
"","Partner","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","46610","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKXKAA3","","","","0052w00000BXX9vAAH","","1000","Belgium","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXKAA3","Retail","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Palmer664 Inc",""
"","Word of mouth","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","46620","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKXLAA3","","","","0052w00000BXX9vAAH","","1000","Australia","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXLAA3","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Woods665 Inc",""
"","Employee Referral","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","46630","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKXMAA3","","","","0052w00000BXX9uAAH","","1000","Normway","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXMAA3","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Higgins666 Inc",""
"","Employee Referral","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","46640","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKXNAA3","","","","0052w00000BXXA2AAP","","1000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXNAA3","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Newman667 Inc",""
"","Word of mouth","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","46690","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKXOAA3","","","","0052w00000BXX9nAAH","","1000","Brazil","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXOAA3","Finance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Rogers668 Inc",""
"","Advertisement","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","47410","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKXPAA3","","","","0052w00000BXX9sAAH","","1000","Belgium","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXPAA3","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Moore669 Inc",""
"","Word of mouth","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","43290","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKXQAA3","","","","0052w00000BXX9nAAH","","1000","USA","","","","","OR","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXQAA3","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Maxwell670 Inc",""
"","Web","","1500000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","46610","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKXRAA3","","","","0052w00000BXXA0AAP","","1000","USA","","","","","NM","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXRAA3","Communications","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Cooper671 Inc",""
"","Word of mouth","","1500000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","46620","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKXSAA3","","","","0052w00000BXX9mAAH","","1000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKXSAA3","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Green672 Inc",""
